source,target
2975,6384
2975,2975
530,2975
2975,1107983
2975,52057
2975,110380
2975,3084
2975,3087
2975,8349
1776,2975
2975,37872
2975,8328
2975,5141
2975,5139
2975,5140
6384,6384
530,6384
64,6384
1776,6384
529,530
530,530
530,532
1107983,1107983
52057,1107983
110380,1107983
180659,1107983
1107983,1280183
181934,1107983
1107983,1165240
1107983,2787630
89289,1107983
1107983,2102583
73988,1107983
1107983,2803017
2954,1107983
33663,1107983
937663,1107983
1107983,1931175
1107983,1700943
938972,1107983
1107983,1236595
1107983,1209864
1107983,2685726
1107983,2764421
52057,52057
52057,110380
8654,52057
52057,104053
2535,52057
52057,225620
52057,109686
1038,52057
4173,52057
349,52057
4587,110380
110380,110380
9780,110380
19011,110380
110380,146687
110380,1122373
110380,1122374
110380,1122375
3084,3084
3084,3087
3084,8349
3084,9857
3084,5248
1158,3084
3084,18269
3084,82702
3084,65605
3084,47775
3084,4483
3084,13570
3084,3417
1776,3084
3084,37872
3084,8328
3087,3087
3087,8349
1158,3087
3087,3092
3087,12132
2130,3087
3087,106179
3087,10190
3087,5250
3037,3087
3087,4951
1776,3087
3087,8487
3087,8490
3087,6838
3087,37872
3087,8328
8349,8349
3203,8349
7862,8349
8349,11367
8349,31028
3266,8349
8349,36059
8349,26466
5606,8349
8349,1179102
8349,21010
8349,101032
6193,8349
31,8349
4690,8349
8349,3248327
8349,1151688
8349,3264883
8349,928944
8349,2022250
8349,9979
514,8349
1892,8349
7796,8349
8349,851784
2641,8349
8349,92029
8349,218506
1776,8349
8349,37872
8328,8349
8349,2098136
8349,2098137
5141,8349
5139,8349
5140,8349
1776,1776
1776,37872
1776,8328
1,1776
1776,7879
1776,2559324
1776,27888
1776,2303
1776,5293
1776,3037
1776,4951
1032,1776
1150,1776
64,1776
1158,1776
134,1776
1776,1006721
37872,37872
8328,37872
3037,37872
4951,37872
8328,8328
3037,8328
4951,8328
8328,14782
190,8328
147,8328
8328,2378014
8328,2046262
8328,1381997
5141,5141
5139,5141
5140,5141
5141,11784
5141,78021
5141,16847
2714,5141
5141,67599
5141,1443708
5141,44038
5139,5139
5139,5140
5139,102429
5139,102334
5139,44762
5139,100360
5139,62596
5139,64722
5139,11357
5139,16178
5139,16847
2714,5139
5139,20903
5139,22082
5139,19506
5139,11770
515,5139
5139,43774
5139,99596
5139,61956
5139,44038
5139,11784
5140,5140
5140,44762
5140,16178
113,5140
4955,5140
3027,5140
5140,131120
64,1415341
64,64
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,10980
64,10989
64,10990
64,219479
64,1101349
529,529
529,532
529,46300
529,27889
529,1331
532,532
532,6384
532,2975
532,7187
532,57371
